"product_name","category","subcategory","total_orders","units_sold","total_revenue","total_profit","profit_margin","revenue_rank"
Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,6,27,8070.19,2518.05,0.31,44
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,1,4,7999.98,-3839.99,-0.48,45
Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,8,28,7985.38,2318.34,0.29,46
Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,9,33,7979.44,926.19,0.12,47
Okidata MB760 Printer,Technology,Machines,2,7,7834.40,881.37,0.11,48
Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,11,45,7730.20,1932.55,0.25,49
Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,2,11,7699.89,3772.95,0.49,50
Mitel MiVoice 5330e IP Phone,Technology,Phones,9,34,7699.72,780.97,0.10,51
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,6,24,7582.37,832.99,0.11,52
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,8,35,7539.71,780.33,0.10,53
Tennsco 16-Compartment Lockers with Coat Rack,Office Supplies,Storage,5,13,7515.52,1114.37,0.15,54
Hon 94000 Series Round Tables,Furniture,Tables,5,30,7404.50,-681.21,-0.09,55
Logitech diNovo Edge Keyboard,Technology,Accessories,5,31,7399.70,1432.44,0.19,56
Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,8,29,7242.77,-532.76,-0.07,57
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Technology,Phones,6,28,7139.80,84.00,0.01,58
Zebra ZM400 Thermal Label Printer,Technology,Machines,2,6,6965.70,3343.54,0.48,59
"Bevis Oval Conference Table, Walnut",Furniture,Tables,8,36,6942.07,-856.01,-0.12,60
Hon GuestStacker Chair,Furniture,Chairs,9,34,6936.10,1233.08,0.18,61
Hoover Upright Vacuum With Dirt Cup,Office Supplies,Appliances,6,31,6832.91,460.35,0.07,62
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Office Supplies,Storage,6,25,6819.31,181.66,0.03,63
GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,8,23,6785.14,494.42,0.07,64
Bretford CR8500 Series Meeting Room Furniture,Furniture,Tables,6,21,6776.56,461.13,0.07,65
Cisco Unified IP Phone 7945G VoIP phone,Technology,Phones,6,26,6751.60,102.30,0.02,66
Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs,10,43,6748.48,281.97,0.04,67
ClearOne CHATAttach 160 - speaker phone,Technology,Phones,4,13,6695.89,1053.98,0.16,68
Standard Rollaway File with Lock,Office Supplies,Storage,10,40,6594.95,1261.33,0.19,69
Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,6,36,6584.64,814.42,0.12,70
"Dual Level, Single-Width Filing Carts",Office Supplies,Storage,9,43,6574.54,1640.53,0.25,71
Balt Solid Wood Round Tables,Furniture,Tables,4,19,6518.75,-1201.06,-0.18,72
Hon Pagoda Stacking Chairs,Furniture,Chairs,4,22,6483.80,1540.70,0.24,73
"Global Leather and Oak Executive Chair, Black",Furniture,Chairs,8,26,6410.87,854.78,0.13,74
Sharp AL-1530CS Digital Copier,Technology,Copiers,4,17,6399.87,2064.96,0.32,75
Polycom VVX 310 VoIP phone,Technology,Phones,8,40,6227.65,899.95,0.14,76
Samsung Galaxy S4,Technology,Phones,5,13,6134.70,438.19,0.07,77
Samsung Galaxy S4 Mini,Technology,Phones,5,15,6109.87,1104.48,0.18,78
Global Comet Stacking Arm Chair,Furniture,Chairs,5,17,6084.14,697.14,0.11,79
Global Ergonomic Managers Chair,Furniture,Chairs,11,39,6008.54,785.45,0.13,80
Canon PC1080F Personal Copier,Technology,Copiers,4,11,5999.90,1973.97,0.33,81
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs,10,39,5989.20,267.30,0.04,82
Hon 5100 Series Wood Tables,Furniture,Tables,7,26,5965.09,-238.60,-0.04,83
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,Appliances,3,18,5906.52,1653.83,0.28,84
Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,7,21,5906.03,1052.81,0.18,85
Global Leather Executive Chair,Furniture,Chairs,7,21,5861.53,701.98,0.12,86
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,Tables,5,23,5801.82,-66.83,-0.01,87
Zebra GX420t Direct Thermal/Thermal Transfer Printer,Technology,Machines,3,14,5787.35,509.71,0.09,88
Iceberg Mobile Mega Data/Printer Cart,Office Supplies,Storage,8,49,5751.77,1388.61,0.24,89
Safco Contoured Stacking Chairs,Furniture,Chairs,8,27,5697.76,870.16,0.15,90
Canon PC940 Copier,Technology,Copiers,3,15,5669.87,2092.45,0.37,91
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,Furniture,Tables,4,17,5634.90,-964.19,-0.17,92
Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology,Accessories,4,17,5609.83,2243.93,0.40,93
Deluxe Rollaway Locking File with Drawer,Office Supplies,Storage,5,14,5572.79,1380.72,0.25,94
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,8,26,5492.89,15.05,0.00,95
"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,14,54,5436.16,-474.74,-0.09,96
Hon Olson Stacker Chairs,Furniture,Chairs,4,22,5427.99,1292.13,0.24,97
Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,11,34,5398.32,-304.99,-0.06,98
Wilson SignalBoost 841262 DB PRO Amplifier Kit,Technology,Phones,6,17,5327.26,1043.85,0.20,99
Hon Olson Stacker Stools,Furniture,Chairs,10,44,5294.46,833.60,0.16,100
GE 30524EE4,Technology,Phones,9,32,5291.73,838.84,0.16,101
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,6,24,5282.42,-989.05,-0.19,102
"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,7,27,5212.11,972.64,0.19,103
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,6,27,5184.08,-126.44,-0.02,104
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Technology,Accessories,7,26,5119.74,2155.89,0.42,105
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Furniture,Tables,6,22,5098.18,-404.01,-0.08,106
Hoover Shoulder Vac Commercial Portable Vacuum,Office Supplies,Appliances,6,16,5009.48,715.64,0.14,107
Panasonic KX-TG9471B,Technology,Phones,7,27,4978.15,1168.10,0.23,108
Chromcraft Rectangular Conference Tables,Furniture,Tables,9,30,4952.67,-450.24,-0.09,109
Apple iPhone 5S,Technology,Phones,4,11,4901.91,512.99,0.10,110
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,7,31,4886.46,566.47,0.12,111
Brother DCP1000 Digital 3 in 1 Multifunction Machine,Technology,Copiers,7,19,4859.84,1154.96,0.24,112
Fellowes Staxonsteel Drawer Files,Office Supplies,Storage,7,26,4829.25,509.97,0.11,113
Smead Adjustable Mobile File Trolley with Lockable Top,Office Supplies,Storage,3,12,4778.77,1106.66,0.23,114
High-Back Leather Manager's Chair,Furniture,Chairs,9,42,4770.63,-197.59,-0.04,115
SAFCO Boltless Steel Shelving,Office Supplies,Storage,10,46,4704.70,-470.47,-0.10,116
Global Executive Mid-Back Manager's Chair,Furniture,Chairs,6,18,4626.58,750.73,0.16,117
DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,11,37,4619.99,486.16,0.11,118
Polycom CX600 IP Phone VoIP phone,Technology,Phones,4,17,4619.23,896.85,0.19,119
Letter Size Cart,Office Supplies,Storage,8,33,4600.09,1252.88,0.27,120
KI Adjustable-Height Table,Furniture,Tables,18,74,4552.64,-248.48,-0.05,121
"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,5,24,4544.92,-192.19,-0.04,122
Fellowes Officeware Wire Shelving,Office Supplies,Storage,11,55,4509.47,-332.37,-0.07,123
Samsung Galaxy Note 2,Technology,Phones,2,14,4507.90,-128.80,-0.03,124
"Fellowes Strictly Business Drawer File, Letter/Legal Size",Office Supplies,Storage,7,33,4479.03,388.75,0.09,125
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,4,17,4476.96,956.95,0.21,126
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables,5,25,4446.18,-1147.40,-0.26,127
Nortel Meridian M3904 Professional Digital phone,Technology,Phones,10,32,4434.91,936.26,0.21,128
Global Commerce Series Low-Back Swivel/Tilt Chairs,Furniture,Chairs,7,24,4420.06,41.12,0.01,129
Sharp 1540cs Digital Laser Copier,Technology,Copiers,7,10,4399.92,1649.97,0.38,130
Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,8,36,4389.25,729.06,0.17,131
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,Storage,7,33,4384.04,-36.53,-0.01,132
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",Furniture,Tables,6,22,4334.83,430.07,0.10,133
Bevis 36 x 72 Conference Tables,Furniture,Tables,8,40,4332.25,448.16,0.10,134
GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,6,23,4322.81,1592.50,0.37,135
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture,Tables,6,11,4297.64,-611.59,-0.14,136
Cisco 9971 IP Video Phone Charcoal,Technology,Machines,2,16,4268.00,466.40,0.11,137
Motorola L703CM,Technology,Phones,6,32,4211.73,467.97,0.11,138
GBC DocuBind 200 Manual Binding Machine,Office Supplies,Binders,4,15,4209.80,1052.45,0.25,139
Hewlett Packard 310 Color Digital Copier,Technology,Copiers,6,16,4199.86,839.97,0.20,140
"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,10,35,4199.46,-635.44,-0.15,141
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,5,31,4185.48,342.89,0.08,142
Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,9,38,4181.75,693.56,0.17,143
Cisco SPA301,Technology,Phones,9,30,4180.53,904.74,0.22,144
"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,14,59,4166.88,-503.12,-0.12,145
Canon PC-428 Personal Copier,Technology,Copiers,6,25,4119.79,1469.93,0.36,146
Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones,7,24,4044.39,733.28,0.18,147
Fellowes Super Stor/Drawer Files,Office Supplies,Storage,9,27,4006.44,473.34,0.12,148
Samsung Galaxy S4 Active,Technology,Phones,2,8,3999.92,1039.98,0.26,149
WD My Passport Ultra 2TB Portable External Hard Drive,Technology,Accessories,8,35,3998.40,499.80,0.13,150
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,1,2,3991.98,1995.99,0.50,151
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,7,32,3989.73,425.76,0.11,152
Polycom SoundStation2 EX Conference phone,Technology,Phones,4,12,3968.51,518.34,0.13,153
Hon Racetrack Conference Tables,Furniture,Tables,6,22,3963.90,-598.52,-0.15,154
Canon Image Class D660 Copier,Technology,Copiers,2,7,3959.93,1691.97,0.43,155
"Global Airflow Leather Mesh Back Chair, Black",Furniture,Chairs,9,32,3955.68,573.72,0.15,156
Fellowes High-Stak Drawer Files,Office Supplies,Storage,8,26,3946.66,419.33,0.11,157
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,5,23,3861.06,289.58,0.07,158
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies,Appliances,3,14,3855.18,1503.52,0.39,159
Polycom SoundPoint IP 450 VoIP phone,Technology,Phones,6,22,3839.62,162.62,0.04,160
Google Nexus 5,Technology,Phones,5,23,3815.79,710.96,0.19,161
Hon Non-Folding Utility Tables,Furniture,Tables,5,29,3775.65,541.65,0.14,162
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Technology,Accessories,5,22,3743.79,21.60,0.01,163
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Furniture,Tables,5,14,3739.11,608.04,0.16,164
Aastra 57i VoIP phone,Technology,Phones,7,26,3684.71,575.33,0.16,165
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,9,35,3680.54,-491.18,-0.13,166
Polycom VoiceStation 500 Conference phone,Technology,Phones,5,15,3657.38,339.19,0.09,167
"Situations Contoured Folding Chairs, 4/Set",Furniture,Chairs,15,64,3641.27,234.23,0.06,168
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,8,34,3626.01,-208.65,-0.06,169
Toshiba IPT2010-SD IP Telephone,Technology,Phones,8,31,3613.74,425.31,0.12,170
"Bush Cubix Conference Tables, Fully Assembled",Furniture,Tables,4,19,3603.29,311.82,0.09,171
Pyle PMP37LED,Technology,Phones,10,43,3590.03,576.90,0.16,172
Global Adaptabilities Conference Tables,Furniture,Tables,4,14,3540.35,354.04,0.10,173
"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Storage,4,19,3537.24,536.90,0.15,174
Global Comet Stacking Armless Chair,Furniture,Chairs,6,14,3528.79,514.37,0.15,175
Avanti 4.4 Cu. Ft. Refrigerator,Office Supplies,Appliances,7,24,3511.01,383.68,0.11,176
Hon Rectangular Conference Tables,Furniture,Tables,4,20,3481.52,-295.82,-0.08,177
"Iceberg OfficeWorks 42"" Round Tables",Furniture,Tables,7,30,3457.44,-392.55,-0.11,178
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture,Bookcases,2,8,3447.84,206.87,0.06,179
O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,6,21,3420.77,-755.75,-0.22,180
Geemarc AmpliPOWER60,Technology,Phones,11,46,3415.04,384.19,0.11,181
Hewlett-Packard Desktjet 6988DT Refurbished Printer,Technology,Machines,1,5,3404.50,1668.20,0.49,182
Bush Advantage Collection Round Conference Table,Furniture,Tables,4,19,3401.60,210.47,0.06,183
Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage,8,37,3397.31,78.25,0.02,184
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Furniture,Tables,6,18,3354.89,100.21,0.03,185
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,8,36,3322.88,1517.91,0.46,186
"Bush Andora Bookcase, Maple/Graphite Gray Finish",Furniture,Bookcases,9,34,3317.72,135.59,0.04,187
Tenex Antistatic Computer Chair Mats,Furniture,Furnishings,6,25,3317.01,-530.04,-0.16,188
Bevis 44 x 96 Conference Tables,Furniture,Tables,5,20,3253.22,-164.72,-0.05,189
Ibico EB-19 Dual Function Manual Binding System,Office Supplies,Binders,8,23,3234.91,1086.38,0.34,190
GBC ProClick 150 Presentation Binding System,Office Supplies,Binders,5,22,3223.00,-461.33,-0.14,191
Okidata C331dn Printer,Technology,Machines,5,12,3210.80,111.68,0.03,192
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Office Supplies,Storage,5,20,3178.13,-167.27,-0.05,193
Jabra SPEAK 410,Technology,Phones,9,37,3158.06,654.17,0.21,194
"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,9,35,3150.58,499.85,0.16,195
Hon 2111 Invitation Series Corner Table,Furniture,Tables,4,18,3140.55,-401.99,-0.13,196
Economy Rollaway Files,Office Supplies,Storage,7,20,3138.80,693.84,0.22,197
BlackBerry Q10,Technology,Phones,6,27,3099.35,548.06,0.18,198
Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Technology,Phones,5,25,3059.80,1147.42,0.37,199
Hoover WindTunnel Plus Canister Vacuum,Office Supplies,Appliances,3,9,3051.30,697.44,0.23,200
Digium D40 VoIP phone,Technology,Phones,9,27,3044.16,571.43,0.19,201
Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,Technology,Machines,1,8,3040.00,1459.20,0.48,202
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,7,31,3039.50,401.21,0.13,203
Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,8,27,3035.21,24.14,0.01,204
Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,12,39,3028.65,-3.24,0.00,205
Compact Automatic Electric Letter Opener,Office Supplies,Supplies,8,26,2982.75,-57.27,-0.02,206
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",Furniture,Tables,5,26,2979.00,54.72,0.02,207
O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases,10,28,2970.06,-78.64,-0.03,208
"Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,6,23,2959.21,493.71,0.17,209
GBC DocuBind P100 Manual Binding Machine,Office Supplies,Binders,8,27,2954.44,489.64,0.17,210
O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases,5,22,2946.37,-767.74,-0.26,211
"3.6 Cubic Foot Counter Height Office Refrigerator",Office Supplies,Appliances,5,18,2946.20,-872.08,-0.30,212
Aastra 6757i CT Wireless VoIP phone,Technology,Phones,6,16,2929.98,482.59,0.16,213
Novimex Swivel Fabric Task Chair,Furniture,Chairs,8,25,2913.91,-445.39,-0.15,214
ShoreTel ShorePhone IP 230 VoIP phone,Technology,Phones,4,21,2906.63,422.48,0.15,215
O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,Bookcases,4,17,2904.16,-170.83,-0.06,216
Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,5,21,2883.28,229.59,0.08,217
Logitech Wireless Gaming Headset G930,Technology,Accessories,6,21,2879.82,763.15,0.26,218
Bose SoundLink Bluetooth Speaker,Technology,Phones,5,18,2865.60,967.14,0.34,219
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,4,33,2863.80,627.17,0.22,220
"Lesro Round Back Collection Coffee Table, End Table",Furniture,Tables,8,20,2847.78,-328.59,-0.12,221
Okidata MB491 Multifunction Printer,Technology,Machines,2,9,2844.30,-434.13,-0.15,222
Premier Automatic Letter Opener,Office Supplies,Supplies,5,14,2836.37,-427.86,-0.15,223
Logitech Wireless Headset h800,Technology,Accessories,6,32,2799.72,719.93,0.26,224
Xerox 1915,Office Supplies,Paper,9,28,2789.01,1262.39,0.45,225
Electrix Halogen Magnifier Lamp,Furniture,Furnishings,6,17,2759.06,314.77,0.11,226
Maxell iVDR EX 500GB Cartridge,Technology,Accessories,2,10,2755.40,1184.82,0.43,227
VTech DS6151,Technology,Phones,8,25,2746.58,478.76,0.17,228
Nortel Meridian M5316 Digital phone,Technology,Phones,4,13,2744.87,253.77,0.09,229
O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,7,37,2740.20,-975.10,-0.36,230
"Carina Mini System Audio Rack, Model AR050B",Office Supplies,Storage,6,26,2730.11,-68.81,-0.03,231
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,6,14,2706.08,578.69,0.21,232
Hon Mobius Operator's Chair,Furniture,Chairs,5,23,2705.78,499.34,0.18,233
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,Furnishings,8,29,2699.06,1260.22,0.47,234
"Bevis Round Conference Table Top, X-Base",Furniture,Tables,6,20,2671.42,-519.94,-0.19,235
Imation Bio 8GB USB Flash Drive Imation Corp,Technology,Accessories,4,16,2659.84,398.98,0.15,236
Global Highback Leather Tilter in Burgundy,Furniture,Chairs,9,34,2647.81,49.13,0.02,237
Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,6,26,2645.80,83.69,0.03,238
Premier Electric Letter Opener,Office Supplies,Supplies,8,24,2641.61,0.00,0.00,239
Vtech CS6719,Technology,Phones,7,32,2630.13,418.52,0.16,240
NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,Technology,Accessories,5,18,2623.84,723.16,0.28,241
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,Technology,Accessories,6,29,2619.74,995.90,0.38,242
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Office Supplies,Storage,8,43,2612.20,153.35,0.06,243
Motorola Droid Maxx,Technology,Phones,4,21,2609.83,341.98,0.13,244
Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,Chairs,4,15,2586.19,-48.80,-0.02,245
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,5,23,2552.54,51.05,0.02,246
Bevis Boat-Shaped Conference Table,Furniture,Tables,6,15,2542.47,-445.59,-0.18,247
Fellowes Powershred HS-440 4-Sheet High Security Shredder,Technology,Machines,3,17,2541.84,1092.68,0.43,248
Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Machines,1,7,2519.96,-252.00,-0.10,249
Safco Industrial Wire Shelving System,Office Supplies,Storage,8,30,2511.05,-218.35,-0.09,250
Plantronics Calisto P620-M USB Wireless Speakerphone System,Technology,Phones,4,14,2508.67,505.65,0.20,251
Easy-staple paper,Office Supplies,Paper,46,150,2504.19,1096.03,0.44,252
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,5,21,2491.28,563.82,0.23,253
Kensington 4 Outlet MasterPiece Compact Power Control Center,Office Supplies,Appliances,7,36,2488.39,380.58,0.15,254
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases,4,15,2487.76,410.35,0.16,255
Sensible Storage WireTech Storage Systems,Office Supplies,Storage,8,38,2484.30,-78.08,-0.03,256
Wi-Ex zBoost YX540 Cellular Phone Signal Booster,Technology,Phones,6,19,2481.15,540.02,0.22,257
Enermax Acrylux Wireless Keyboard,Technology,Accessories,6,29,2450.16,630.47,0.26,258
Panasonic KX MB2061 Multifunction Printer,Technology,Machines,1,10,2396.40,179.73,0.08,259
Global Super Steno Chair,Furniture,Chairs,7,30,2389.90,0.00,0.00,260
Harbour Creations Steel Folding Chair,Furniture,Chairs,8,34,2389.12,336.38,0.14,261
Logitech Gaming G510s - Keyboard,Technology,Accessories,8,31,2362.72,676.52,0.29,262
Swingline SM12-08 MicroCut Jam Free Shredder,Technology,Machines,3,13,2359.94,-447.99,-0.19,263
"3D Systems Cube Printer, 2nd Generation, White",Technology,Machines,2,3,2339.98,-468.00,-0.20,264
Logitech G700s Rechargeable Gaming Mouse,Technology,Accessories,9,25,2339.77,889.91,0.38,265
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,Technology,Machines,4,13,2330.65,-785.76,-0.34,266
"Fellowes Mobile File Cart, Black",Office Supplies,Storage,10,40,2300.66,485.00,0.21,267
